         16423056 function calls (16281310 primitive calls) in 10.378 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    15432    0.007    0.000    0.018    0.000 InsdcIO.py:235(_insdc_feature_position_string)
    65983    0.006    0.000    0.006    0.000 {method 'rjust' of 'str' objects}
      644    0.006    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
     1090    0.006    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
     2329    0.006    0.000    0.007    0.000 helpers.py:229(add_gene)
    30859    0.006    0.000    0.006    0.000 SeqFeature.py:180(__init__)
     9464    0.005    0.000    0.016    0.000 utils.py:57(_clean_translation)
     5788    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     1524    0.005    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
     1615    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
        5    0.005    0.001    0.005    0.001 Seq.py:2040(__init__)
    658/1    0.004    0.000   10.379   10.379 {built-in method builtins.exec}
     2537    0.004    0.000    0.684    0.000 helpers.py:393(divgn2_gene_cluster)
      944    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
     1590    0.004    0.000    0.009    0.000 _docscrape.py:168(_is_at_section)
    50760    0.004    0.000    0.004    0.000 fromnumeric.py:2299(_sum_dispatcher)
      644    0.004    0.000    0.111    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
    50760    0.004    0.000    0.004    0.000 multiarray.py:403(where)
    12505    0.004    0.000    0.005    0.000 _parser.py:167(__getitem__)
      610    0.003    0.000    0.005    0.000 _compiler.py:241(_optimize_charset)
      775    0.003    0.000    0.039    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
    786/5    0.003    0.000    0.556    0.111 <frozen importlib._bootstrap>:1349(_find_and_load)
  3713/95    0.003    0.000    0.007    0.000 copy.py:119(deepcopy)
    23876    0.003    0.000    0.003    0.000 SeqFeature.py:1244(parts)
     1288    0.003    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
     3755    0.003    0.000    0.013    0.000 _parser.py:175(append)
    16152    0.003    0.000    0.003    0.000 {method 'reverse' of 'list' objects}
     1834    0.003    0.000    0.007    0.000 _docscrape.py:67(read_to_condition)
     3759    0.003    0.000    0.005    0.000 SeqFeature.py:1010(__str__)
    783/5    0.003    0.000    0.556    0.111 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     4304    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
