         14070320 function calls (13931903 primitive calls) in 6.447 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.471    0.471 helpers.py:158(build_genomic_island_gene_map)
      238    0.004    0.000    0.004    0.000 {built-in method builtins.eval}
      367    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
        5    0.004    0.001    0.004    0.001 Seq.py:2040(__init__)
     2537    0.004    0.000    0.632    0.000 helpers.py:482(divgn2_gene_cluster)
     1590    0.004    0.000    0.008    0.000 _docscrape.py:168(_is_at_section)
      683    0.004    0.000    0.028    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
    50760    0.003    0.000    0.003    0.000 fromnumeric.py:2299(_sum_dispatcher)
     1834    0.003    0.000    0.007    0.000 _docscrape.py:67(read_to_condition)
     1362    0.003    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
     3759    0.003    0.000    0.005    0.000 SeqFeature.py:1010(__str__)
     3629    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
        1    0.003    0.003    6.448    6.448 jscb_new.py:1(<module>)
  3713/95    0.003    0.000    0.006    0.000 copy.py:119(deepcopy)
       81    0.003    0.000    0.003    0.000 CodonTable.py:376(__init__)
      741    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.003    0.003    0.483    0.483 helpers.py:178(build_genomic_island_contig_details)
    23876    0.003    0.000    0.003    0.000 SeqFeature.py:1244(parts)
    376/1    0.003    0.000    6.448    6.448 {built-in method builtins.exec}
    16152    0.003    0.000    0.003    0.000 {method 'reverse' of 'list' objects}
      367    0.003    0.000    0.166    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
        1    0.002    0.002    0.010    0.010 numerictypes.py:1(<module>)
     4304    0.002    0.000    0.002    0.000 {built-in method _codecs.utf_8_decode}
      854    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
       19    0.002    0.000    0.003    0.000 {built-in method _io.open}
    11270    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
    32663    0.002    0.000    0.002    0.000 SeqFeature.py:994(_get_strand)
      440    0.002    0.000    0.035    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.002    0.002    0.449    0.449 InsdcIO.py:1038(write_record)
    446/3    0.002    0.000    0.631    0.210 <frozen importlib._bootstrap>:1349(_find_and_load)
     4304    0.002    0.000    0.004    0.000 <frozen codecs>:322(decode)
      546    0.002    0.000    0.003    0.000 _compiler.py:241(_optimize_charset)
      854    0.002    0.000    0.009    0.000 textwrap.py:419(dedent)
     7714    0.002    0.000    0.002    0.000 InsdcIO.py:452(_wrap_location)
      741    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      734    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
       62    0.002    0.000    1.328    0.021 __init__.py:1(<module>)
     8832    0.002    0.000    0.002    0.000 _docscrape.py:64(eof)
     3086    0.002    0.000    0.002    0.000 _docscrape.py:57(seek_next_non_empty_line)
    443/3    0.001    0.000    0.631    0.210 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
       19    0.001    0.000    0.003    0.000 enum.py:1754(convert_class)
      371    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
 1803/540    0.001    0.000    0.002    0.000 _parser.py:177(getwidth)
      741    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      741    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      256    0.001    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
      455    0.001    0.000    0.003    0.000 functools.py:36(update_wrapper)
     7518    0.001    0.000    0.001    0.000 SeqFeature.py:1858(__str__)
       34    0.001    0.000    0.003    0.000 enum.py:499(__new__)
       94    0.001    0.000    0.031    0.000 _docscrape.py:388(_parse)
   1073/6    0.001    0.000    0.629    0.105 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
    10758    0.001    0.000    0.001    0.000 _docscrape.py:43(__getitem__)
      426    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.001    0.001    0.003    0.003 helpers.py:599(write_output_gi)
  613/137    0.001    0.000    0.019    0.000 _parser.py:451(_parse_sub)
     3666    0.001    0.000    0.002    0.000 _docscrape.py:91(peek)
     6099    0.001    0.000    0.002    0.000 _parser.py:260(get)
    426/3    0.001    0.000    0.630    0.210 <frozen importlib._bootstrap>:911(_load_unlocked)
6577/5933    0.001    0.000    0.130    0.000 {built-in method builtins.hasattr}
       94    0.001    0.000    0.006    0.000 inspect.py:876(getdoc)
      367    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
      209    0.001    0.000    0.002    0.000 helpers.py:292(init_cluster)
       50    0.001    0.000    0.001    0.000 core.py:933(__init__)
      188    0.001    0.000    0.006    0.000 _docscrape.py:224(_parse_param_list)
  136/127    0.001    0.000    0.006    0.000 inspect.py:2500(_signature_from_callable)
     6040    0.001    0.000    0.002    0.000 _docscrape.py:80(is_empty)
       35    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
      554    0.001    0.000    0.014    0.000 _docscrape.py:201(_read_to_next_section)
      245    0.001    0.000    0.007    0.000 typing.py:1438(__init__)
     8711    0.001    0.000    0.001    0.000 _parser.py:239(__next)
      421    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
      122    0.001    0.000    0.003    0.000 inspect.py:2396(_signature_from_function)
      435    0.001    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1519(_get_spec)
      367    0.001    0.000    0.120    0.000 <frozen importlib._bootstrap_external>:1211(get_data)
     3570    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      715    0.001    0.000    0.001    0.000 CodonTable.py:286(<genexpr>)
   198/95    0.001    0.000    0.006    0.000 copy.py:218(_deepcopy_dict)
      693    0.001    0.000    0.001    0.000 CodonTable.py:296(<genexpr>)
      458    0.001    0.000    0.001    0.000 CodonTable.py:291(<genexpr>)
      310    0.001    0.000    0.010    0.000 overrides.py:145(decorator)
     1701    0.001    0.000    0.002    0.000 typing.py:1383(__setattr__)
    367/3    0.001    0.000    0.630    0.210 <frozen importlib._bootstrap_external>:1017(exec_module)
        1    0.001    0.001    0.001    0.001 __init__.py:809(_sanity_check)
      432    0.001    0.000    0.002    0.000 typing.py:173(_type_check)
       27    0.001    0.000    0.018    0.001 CodonTable.py:493(register_ncbi_table)
   383/57    0.001    0.000    0.514    0.009 <frozen importlib._bootstrap>:1398(_handle_fromlist)
