DEBUG stats: genes_all=2538 genes_used=2538 mapped=2538 unmapped=0 nclusters=15 native_cluster=1 native_size=1705
         13997321 function calls (13855607 primitive calls) in 13.283 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      775    6.234    0.008    8.343    0.011 helpers.py:275(_divgn_cluster_vs_many_gpu)
    46500    0.889    0.000    0.889    0.000 {method 'sum' of 'cupy._core.core._ndarray_base' objects}
    19375    0.793    0.000    0.824    0.000 {built-in method cupy._core.core.array}
        1    0.389    0.389    0.659    0.659 helpers.py:265(sanitize_genome)
        1    0.339    0.339    0.451    0.451 helpers.py:97(compute_gene_codonfreq_and_aminofreq)
  4819566    0.333    0.000    0.333    0.000 {method 'append' of 'list' objects}
    30859    0.229    0.000    0.347    0.000 Scanner.py:233(parse_feature)
     2537    0.208    0.000    0.219    0.000 helpers.py:595(rentrotot_gene_cluster)
     2539    0.196    0.000    0.208    0.000 helpers.py:634(rentro_cluster)
     2537    0.196    0.000    0.207    0.000 helpers.py:654(rentro_gene)
        1    0.175    0.175    0.175    0.175 helpers.py:76(genome_to_iy)
        5    0.175    0.035    0.321    0.064 Scanner.py:1189(parse_footer)
   141526    0.158    0.000    0.158    0.000 {method 'search' of 're.Pattern' objects}
        5    0.154    0.031    0.605    0.121 Scanner.py:146(parse_features)
   841464    0.135    0.000    0.205    0.000 {built-in method builtins.isinstance}
   146932    0.127    0.000    0.445    0.000 __init__.py:730(feature_qualifier)
        1    0.114    0.114    0.184    0.184 InsdcIO.py:1011(_write_sequence)
   155000    0.114    0.000    0.223    0.000 numeric.py:1975(isscalar)
    36728    0.082    0.000    0.134    0.000 InsdcIO.py:396(_write_feature_qualifier)
   599750    0.073    0.000    0.073    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        5    0.073    0.015    0.875    0.175 Scanner.py:408(_feed_feature_table)
   329450    0.067    0.000    0.067    0.000 {method 'replace' of 'str' objects}
   534205    0.067    0.000    0.072    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
    30894    0.064    0.000    0.148    0.000 SeqFeature.py:816(__init__)
       25    0.060    0.002    0.060    0.002 {built-in method _ctypes.dlopen}
     3148    0.057    0.000    0.057    0.000 {built-in method posix.stat}
        1    0.054    0.054    9.114    9.114 helpers.py:318(cluster_jscb)
660136/658446    0.053    0.000    0.053    0.000 {built-in method builtins.len}
   616999    0.052    0.000    0.052    0.000 {method 'startswith' of 'str' objects}
   141500    0.047    0.000    0.257    0.000 __init__.py:174(search)
   164269    0.045    0.000    0.046    0.000 {method 'join' of 'str' objects}
        1    0.045    0.045    0.045    0.045 {built-in method cupy_backends.cuda.api.runtime.getDeviceCount}
    50969    0.043    0.000    0.043    0.000 {method 'reduce' of 'numpy.ufunc' objects}
      775    0.039    0.000    0.041    0.000 {method 'get' of 'cupy._core.core._ndarray_base' objects}
   142810    0.038    0.000    0.107    0.000 __init__.py:330(_compile)
    30859    0.038    0.000    0.240    0.000 SeqFeature.py:628(fromstring)
      607    0.037    0.000    0.037    0.000 {built-in method marshal.loads}
   485658    0.037    0.000    0.037    0.000 {built-in method math.log}
   372035    0.036    0.000    0.036    0.000 {method 'rstrip' of 'str' objects}
   352108    0.036    0.000    0.036    0.000 {method 'strip' of 'str' objects}
   170275    0.035    0.000    0.069    0.000 <frozen abc>:117(__instancecheck__)
    46500    0.035    0.000    0.940    0.000 sumprod.py:13(sum)
   170275    0.034    0.000    0.035    0.000 {built-in method _abc._abc_instancecheck}
    30859    0.034    0.000    0.309    0.000 __init__.py:697(location)
  110/108    0.031    0.000    0.033    0.000 {built-in method _imp.create_dynamic}
    50760    0.030    0.000    0.078    0.000 fromnumeric.py:66(_wrapreduction)
     7714    0.028    0.000    0.250    0.000 InsdcIO.py:470(_write_feature)
    30867    0.027    0.000    0.183    0.000 SeqFeature.py:897(fromstring)
   109/50    0.026    0.000    0.115    0.002 {built-in method _imp.exec_dynamic}
    50760    0.026    0.000    0.108    0.000 fromnumeric.py:2304(sum)
    20150    0.026    0.000    0.026    0.000 _internal.py:263(__init__)
     7716    0.025    0.000    0.065    0.000 InsdcIO.py:268(_insdc_location_string_ignoring_strand_and_subfeatures)
    18435    0.023    0.000    0.026    0.000 helpers.py:34(sig)
123240/41    0.021    0.000    1.824    0.044 {built-in method builtins.next}
   300698    0.019    0.000    0.019    0.000 Scanner.py:290(<genexpr>)
    76357    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
    84938    0.018    0.000    0.032    0.000 SeqFeature.py:1851(__new__)
   141364    0.018    0.000    0.033    0.000 utils.py:43(clean_value)
88647/88563    0.017    0.000    0.019    0.000 {built-in method __new__ of type object at 0x57587f220ae0}
    30859    0.016    0.000    0.025    0.000 __init__.py:691(feature_key)
    46500    0.016    0.000    0.016    0.000 {built-in method cupy._core._fusion_thread_local.is_fusing}
   147010    0.015    0.000    0.015    0.000 {method 'find' of 'str' objects}
      242    0.015    0.000    0.015    0.000 {built-in method builtins.eval}
        1    0.014    0.014   12.707   12.707 jscb.py:6(main)
    30859    0.013    0.000    0.023    0.000 __init__.py:243(_clean_location)
        1    0.012    0.012    1.142    1.142 helpers.py:235(load_from_genbank)
        1    0.011    0.011    0.011    0.011 {built-in method cupy_backends.cuda.libs.nvrtc.compileProgram}
      511    0.011    0.000    0.020    0.000 inspect.py:895(cleandoc)
  869/168    0.010    0.000    0.030    0.000 _parser.py:511(_parse)
    19375    0.010    0.000    0.834    0.000 from_data.py:59(asarray)
    72823    0.010    0.000    0.010    0.000 {method 'lstrip' of 'str' objects}
    52620    0.009    0.000    0.009    0.000 {method 'issuperset' of 'set' objects}
7716/7714    0.009    0.000    0.076    0.000 InsdcIO.py:330(_insdc_location_string)
    70006    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
 1003/998    0.009    0.000    0.029    0.000 {built-in method builtins.__build_class__}
    30901    0.009    0.000    0.009    0.000 {method 'upper' of 'str' objects}
   120723    0.009    0.000    0.009    0.000 SeqFeature.py:1254(start)
   104979    0.009    0.000    0.009    0.000 {built-in method builtins.min}
      167    0.008    0.000    0.014    0.000 CodonTable.py:265(list_ambiguous_codons)
     1550    0.008    0.000    0.008    0.000 {method 'memset_async' of 'cupy.cuda.memory.MemoryPointer' objects}
        9    0.008    0.001    1.821    0.202 Scanner.py:432(feed)
   120723    0.008    0.000    0.008    0.000 SeqFeature.py:1263(end)
    23150    0.008    0.000    0.016    0.000 SeqFeature.py:1866(__add__)
     1550    0.008    0.000    0.016    0.000 basic.py:233(zeros)
      629    0.007    0.000    0.007    0.000 {method 'read' of '_io.BufferedReader' objects}
 1618/155    0.007    0.000    0.017    0.000 _compiler.py:37(_compile)
       21    0.007    0.000    0.007    0.000 {method 'load' of 'cupy.cuda.function.Module' objects}
    61761    0.007    0.000    0.007    0.000 SeqFeature.py:998(_set_strand)
    20150    0.007    0.000    0.007    0.000 _internal.py:317(data)
    15432    0.007    0.000    0.018    0.000 InsdcIO.py:235(_insdc_feature_position_string)
    26922    0.007    0.000    0.007    0.000 {built-in method builtins.getattr}
    63875    0.007    0.000    0.007    0.000 {method 'items' of 'dict' objects}
    31379    0.007    0.000    0.007    0.000 {method 'lower' of 'str' objects}
    61735    0.007    0.000    0.007    0.000 {method 'count' of 'str' objects}
    65983    0.006    0.000    0.006    0.000 {method 'rjust' of 'str' objects}
     1805    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap>:372(release)
      607    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
      607    0.006    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
    627/1    0.005    0.000   13.284   13.284 {built-in method builtins.exec}
     1024    0.005    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:1621(find_spec)
     2329    0.005    0.000    0.006    0.000 helpers.py:370(add_gene)
      132    0.005    0.000    0.008    0.000 inspect.py:2396(_signature_from_function)
    30859    0.005    0.000    0.005    0.000 SeqFeature.py:180(__init__)
     1805    0.005    0.000    0.015    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.005    0.005    0.445    0.445 helpers.py:176(build_genomic_island_gene_map)
        5    0.004    0.001    0.005    0.001 Seq.py:2040(__init__)
     9464    0.004    0.000    0.011    0.000 utils.py:57(_clean_translation)
