tests/CP116442.gbk
         16645481 function calls (16517950 primitive calls) in 6.637 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
  578/577    0.006    0.000    0.018    0.000 {built-in method builtins.__build_class__}
      481    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:124(setdefault)
    30/27    0.005    0.000    0.012    0.000 {built-in method _imp.exec_dynamic}
        5    0.005    0.001    0.005    0.001 Seq.py:2040(__init__)
       79    0.005    0.000    0.005    0.000 inspect.py:2768(__init__)
      208    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
      208    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:48(_new_module)
       35    0.004    0.000    0.004    0.000 ipaddress.py:1904(_split_scope_id)
     1025    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      208    0.004    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:779(_compile_bytecode)
    23876    0.004    0.000    0.004    0.000 SeqFeature.py:1244(parts)
     4304    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
     2558    0.003    0.000    0.150    0.000 jscb_old.py:401(divgn2_gene_cluster)
     3759    0.003    0.000    0.005    0.000 SeqFeature.py:1010(__str__)
    18457    0.003    0.000    0.003    0.000 {built-in method math.exp}
     4304    0.003    0.000    0.006    0.000 <frozen codecs>:322(decode)
    16146    0.003    0.000    0.003    0.000 {method 'reverse' of 'list' objects}
      208    0.003    0.000    0.003    0.000 {method 'read' of '_io.BufferedReader' objects}
    32663    0.002    0.000    0.002    0.000 SeqFeature.py:994(_get_strand)
        1    0.002    0.002    0.541    0.541 InsdcIO.py:1038(write_record)
     2732    0.002    0.000    0.002    0.000 jscb_old.py:446(recompute_cluster_len)
   157/55    0.002    0.000    0.006    0.000 _parser.py:511(_parse)
     7714    0.002    0.000    0.003    0.000 InsdcIO.py:452(_wrap_location)
     2307    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
      481    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap>:304(acquire)
       16    0.002    0.000    0.004    0.000 enum.py:1754(convert_class)
       81    0.002    0.000    0.002    0.000 CodonTable.py:376(__init__)
      218    0.002    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
       53    0.002    0.000    0.004    0.000 textwrap.py:419(dedent)
      208    0.002    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
     8588    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
      693    0.001    0.000    0.002    0.000 CodonTable.py:296(<genexpr>)
       17    0.001    0.000    0.001    0.000 {built-in method _io.open}
      241    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
      106    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
    211/1    0.001    0.000    6.637    6.637 {built-in method builtins.exec}
        3    0.001    0.000    0.001    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      715    0.001    0.000    0.002    0.000 CodonTable.py:286(<genexpr>)
    244/5    0.001    0.000    0.249    0.050 <frozen importlib._bootstrap>:1349(_find_and_load)
      416    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
      458    0.001    0.000    0.002    0.000 CodonTable.py:291(<genexpr>)
     7518    0.001    0.000    0.001    0.000 SeqFeature.py:1858(__str__)
       27    0.001    0.000    0.025    0.001 CodonTable.py:493(register_ncbi_table)
   285/43    0.001    0.000    0.003    0.000 _compiler.py:37(_compile)
      481    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       28    0.001    0.000    0.944    0.034 __init__.py:1(<module>)
      373    0.001    0.000    0.001    0.000 {method 'expandtabs' of 'str' objects}
       19    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.001    0.001    0.002    0.002 jscb_old.py:679(write_output_gi)
    244/5    0.001    0.000    0.249    0.050 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      590    0.001    0.000    0.006    0.000 {built-in method builtins.sorted}
      209    0.001    0.000    0.001    0.000 jscb_old.py:454(init_cluster_with_gene)
       19    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
       53    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
       27    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
      481    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        4    0.001    0.000    0.001    0.000 {method 'decode' of 'bytes' objects}
        5    0.001    0.000    0.006    0.001 __init__.py:805(sequence)
      239    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      278    0.001    0.000    0.002    0.000 functools.py:36(update_wrapper)
      212    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
     4194    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1477    0.001    0.000    0.002    0.000 typing.py:1383(__setattr__)
        5    0.001    0.000    0.003    0.001 Scanner.py:1581(_feed_header_lines)
     2203    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      238    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:830(spec_from_file_location)
      211    0.001    0.000    0.007    0.000 typing.py:1438(__init__)
