tests/CP116442.gbk
         4649657 function calls (4572845 primitive calls) in 1.764 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    374/1    0.002    0.000    1.765    1.765 {built-in method builtins.exec}
     8674    0.002    0.000    0.002    0.000 _parser.py:239(__next)
      365    0.002    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:1090(get_code)
 1785/533    0.002    0.000    0.003    0.000 _parser.py:177(getwidth)
    444/6    0.002    0.000    0.428    0.071 <frozen importlib._bootstrap>:1349(_find_and_load)
      438    0.002    0.000    0.029    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.002    0.002    0.478    0.478 InsdcIO.py:1038(write_record)
      730    0.002    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:509(cache_from_source)
        4    0.002    0.000    0.855    0.214 Scanner.py:432(feed)
     7714    0.002    0.000    0.003    0.000 InsdcIO.py:452(_wrap_location)
    14753    0.002    0.000    0.002    0.000 SeqFeature.py:1244(parts)
       35    0.002    0.000    0.002    0.000 ipaddress.py:1904(_split_scope_id)
       62    0.002    0.000    1.395    0.023 __init__.py:1(<module>)
      854    0.002    0.000    0.014    0.000 textwrap.py:419(dedent)
     6070    0.002    0.000    0.003    0.000 _parser.py:260(get)
  606/132    0.002    0.000    0.029    0.000 _parser.py:451(_parse_sub)
      240    0.002    0.000    0.004    0.000 typing.py:260(_collect_type_parameters)
    441/6    0.002    0.000    0.428    0.071 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     7031    0.002    0.000    0.002    0.000 {method 'reverse' of 'list' objects}
     3086    0.002    0.000    0.002    0.000 _docscrape.py:57(seek_next_non_empty_line)
       19    0.001    0.000    0.004    0.000 enum.py:1754(convert_class)
     9199    0.001    0.000    0.001    0.000 {method 'items' of 'dict' objects}
    15446    0.001    0.000    0.001    0.000 SeqFeature.py:994(_get_strand)
     8832    0.001    0.000    0.002    0.000 _docscrape.py:64(eof)
      739    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      424    0.001    0.000    0.007    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.001    0.001    1.336    1.336 jscb.py:757(main)
       61    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
    10758    0.001    0.000    0.001    0.000 _docscrape.py:43(__getitem__)
6545/5905    0.001    0.000    0.109    0.000 {built-in method builtins.hasattr}
    424/7    0.001    0.000    0.427    0.061 <frozen importlib._bootstrap>:911(_load_unlocked)
       94    0.001    0.000    0.030    0.000 _docscrape.py:388(_parse)
